City,Year,Month,PM2_5,PM10,NO2,SO2,CO,O3,Temperature_C,Humidity_pct,AQI
MetroE,2022,6,18.0,110.8,85.7,48.6,4.76,151.5,28.0,61.3,286
MetroD,2024,11,134.2,227.3,93.3,37.0,0.91,55.6,36.2,42.6,421
MetroD,2024,9,50.4,84.5,74.5,4.7,2.34,161.6,17.4,53.3,388
MetroD,2022,12,178.0,44.8,104.2,5.1,0.64,158.2,39.3,39.2,307
MetroA,2022,7,7.6,91.2,72.8,47.6,4.36,45.5,12.6,29.0,450
MetroA,2021,12,56.5,108.3,44.2,3.6,3.26,127.2,34.2,76.8,413
MetroE,2025,6,57.9,100.7,111.6,58.4,4.07,155.8,40.1,50.6,148
MetroE,2020,10,47.1,63.9,87.0,24.0,3.15,132.4,19.6,73.9,214
MetroA,2025,12,125.3,116.6,24.7,10.5,4.96,84.3,20.9,80.1,280
MetroC,2024,2,107.1,80.1,68.0,18.0,0.16,62.8,12.8,56.9,286
MetroB,2024,12,117.6,243.6,111.6,27.3,3.94,19.2,29.1,58.6,113
MetroB,2022,1,176.2,26.4,5.4,5.6,3.69,154.9,12.1,20.7,305
MetroC,2022,1,112.0,144.2,58.9,17.4,2.95,98.7,38.4,33.7,230
MetroA,2021,9,127.6,18.5,42.6,8.9,2.86,96.0,13.0,33.9,145
MetroB,2022,2,15.3,85.3,88.5,5.6,2.27,49.3,33.9,92.1,59
MetroE,2020,8,40.0,64.7,26.3,5.3,0.36,133.8,12.8,79.0,410
MetroB,2022,12,49.1,111.5,33.6,3.9,1.33,43.1,21.2,54.1,367
MetroE,2023,11,72.6,112.3,33.1,50.2,4.4,164.8,29.4,28.5,67
MetroD,2022,9,58.2,243.2,43.5,50.2,2.11,71.9,20.1,91.9,291
MetroA,2022,3,57.9,82.5,19.6,33.8,3.66,38.4,30.6,31.4,112
MetroA,2024,5,46.2,164.8,24.7,51.6,1.62,82.8,27.6,86.5,85
MetroB,2025,6,17.1,54.8,66.5,59.1,3.66,42.6,21.4,92.2,289
MetroC,2024,11,146.8,99.9,80.2,12.7,1.94,176.1,38.3,73.4,438
MetroB,2020,4,151.6,83.1,69.8,16.2,3.88,49.4,19.3,62.6,130
MetroA,2021,4,69.6,223.7,21.2,15.2,1.63,96.8,38.8,60.5,307
MetroD,2023,10,94.6,53.9,104.4,13.3,4.04,57.1,17.3,30.7,425
MetroB,2020,3,90.0,54.1,95.1,6.8,1.26,128.3,16.8,53.1,365
MetroB,2024,6,33.9,175.9,101.1,43.0,4.65,47.0,38.5,61.4,56
MetroC,2023,9,66.2,127.2,63.8,40.5,4.67,123.9,20.0,43.8,431
MetroE,2020,8,64.1,214.3,35.1,59.5,3.26,64.9,41.7,88.1,145
MetroC,2022,5,157.1,238.5,52.8,2.7,0.9,59.4,13.7,52.3,343
MetroB,2022,6,139.4,182.6,61.8,18.3,1.35,39.3,14.6,27.1,212
MetroE,2025,10,126.9,56.1,118.0,10.7,2.46,128.6,11.2,68.0,70
MetroA,2020,9,93.7,146.8,85.5,55.2,4.0,105.7,25.9,21.0,312
MetroE,2025,8,33.9,151.3,10.9,44.1,4.13,84.4,32.0,69.7,185
MetroA,2023,6,39.2,42.3,112.0,4.6,1.88,67.3,35.9,62.7,274
MetroA,2024,4,159.8,156.3,56.1,11.5,1.12,78.1,24.9,43.6,100
MetroB,2022,3,36.6,228.8,76.0,19.9,2.82,82.7,24.7,61.4,116
MetroE,2024,9,172.2,152.1,95.6,18.4,0.86,11.1,41.4,28.9,224
MetroE,2025,3,113.2,115.5,98.7,27.7,4.19,19.2,33.1,27.3,228
MetroB,2023,7,36.8,117.7,103.1,4.1,1.05,175.9,24.4,49.2,208
MetroB,2024,5,36.6,196.2,69.0,48.3,0.42,167.8,17.4,83.7,256
MetroC,2025,2,73.0,189.3,37.0,25.7,1.72,26.3,22.8,84.9,344
MetroD,2024,3,60.9,94.0,20.8,13.2,3.96,177.2,38.4,68.7,109
MetroA,2025,2,79.4,118.9,118.8,34.5,4.69,77.7,22.4,73.8,184
MetroC,2025,10,72.7,213.8,38.3,7.8,0.98,36.1,13.4,29.3,193
MetroC,2023,11,102.8,162.5,88.2,20.5,3.0,88.6,25.5,49.6,304
MetroB,2021,4,98.9,216.1,112.3,5.0,1.67,115.3,12.0,51.5,45
MetroC,2022,6,110.0,221.4,105.4,14.1,4.52,178.8,39.0,43.5,387
MetroD,2025,3,6.5,166.3,116.4,22.3,3.94,114.7,38.6,37.5,343
MetroC,2023,4,129.4,80.5,54.9,48.9,0.56,79.3,14.9,60.0,405
MetroB,2022,3,70.7,88.1,105.2,56.8,2.66,57.1,40.0,34.5,114
MetroE,2021,3,26.0,150.4,19.9,9.8,1.74,144.9,32.5,43.8,100
MetroA,2022,3,44.6,176.3,73.1,4.0,3.29,32.7,25.0,94.7,137
MetroC,2025,3,54.0,187.7,118.1,24.3,0.25,88.5,16.3,38.1,382
MetroA,2025,12,58.2,74.1,64.7,6.2,0.62,146.6,37.4,85.0,199
MetroA,2023,12,167.8,148.4,86.6,30.0,1.48,83.3,30.7,89.9,226
MetroD,2023,6,174.0,231.5,27.5,10.4,1.28,51.0,22.6,78.8,255
MetroE,2020,1,35.2,206.9,65.6,4.6,4.29,57.3,14.2,37.7,425
MetroC,2023,6,107.4,21.4,57.3,41.9,2.66,109.4,21.2,83.1,155
MetroA,2023,3,145.9,97.7,22.3,3.4,3.23,92.1,34.0,93.5,331
MetroD,2020,8,100.2,130.3,19.8,51.2,3.56,76.9,29.3,91.4,153
MetroE,2023,8,150.7,86.1,18.4,14.2,3.09,128.6,13.3,46.6,130
MetroA,2025,11,108.4,10.9,54.7,58.0,0.55,92.9,12.0,52.2,182
MetroD,2025,1,122.3,17.0,109.5,29.7,1.17,164.6,37.8,78.1,274
MetroD,2024,1,52.1,51.7,86.2,28.4,2.97,41.0,26.3,69.4,418
MetroD,2025,9,109.5,124.6,77.5,19.8,0.41,35.1,41.1,87.0,214
MetroC,2022,9,158.9,43.2,62.7,10.0,2.33,16.5,25.0,62.7,196
MetroE,2022,3,129.4,13.5,28.2,17.6,4.07,143.5,19.1,68.5,401
MetroE,2025,1,104.0,36.9,83.8,37.1,3.22,127.0,39.7,53.6,342
MetroD,2024,6,108.1,173.0,26.6,5.2,0.67,17.3,27.8,42.9,431
MetroB,2021,9,31.3,217.7,15.3,22.5,3.48,105.7,18.5,30.1,325
MetroB,2020,10,51.3,233.9,7.5,37.4,1.48,90.7,24.0,80.7,124
MetroB,2025,1,167.9,245.5,92.1,57.3,2.13,169.9,26.4,31.1,121
MetroB,2021,1,69.0,218.2,42.0,14.6,1.36,127.5,41.3,59.1,84
MetroD,2025,12,162.2,197.6,5.2,20.1,3.9,129.2,41.9,87.4,438
MetroB,2025,11,71.6,18.4,93.3,28.5,4.34,32.4,37.4,68.4,181
MetroE,2023,4,95.3,33.6,32.9,35.3,0.97,70.9,30.6,64.6,349
MetroD,2023,9,175.1,210.9,7.7,25.2,4.36,82.4,11.9,49.1,250
MetroA,2021,10,52.5,152.9,35.4,50.1,0.62,143.0,14.9,73.6,430
MetroC,2025,11,9.3,168.6,109.7,46.7,2.33,137.5,19.1,80.2,238
MetroD,2020,8,107.0,41.2,93.1,58.3,2.51,153.0,17.5,22.1,441
MetroA,2023,10,19.7,171.5,108.6,6.9,3.09,69.1,11.4,25.5,53
MetroE,2022,6,58.9,139.0,76.4,51.3,4.3,39.1,30.1,85.7,157
MetroC,2024,4,177.9,162.3,85.7,20.0,4.96,151.3,20.3,42.6,32
MetroD,2022,11,142.4,45.4,32.8,11.4,1.37,44.4,15.3,61.5,437
MetroE,2020,6,72.6,179.3,23.2,27.9,2.06,29.1,38.7,77.9,399
MetroC,2024,11,83.0,30.0,13.1,15.4,2.67,131.5,27.8,20.7,115
MetroD,2023,9,24.2,13.7,40.4,32.1,1.54,62.4,39.5,39.9,54
MetroA,2020,11,141.7,244.6,9.9,6.5,2.32,61.7,17.9,85.2,128
MetroA,2021,11,163.6,159.6,83.9,40.8,0.23,176.3,10.9,37.1,273
MetroB,2024,1,44.2,25.0,105.2,20.6,2.93,98.0,18.4,49.9,308
MetroC,2022,5,177.7,102.5,51.5,32.7,2.38,25.0,34.3,62.2,98
MetroE,2021,9,9.5,22.4,41.5,14.7,2.04,159.6,33.3,64.5,287
MetroA,2025,1,27.9,108.6,49.8,17.8,0.32,43.0,32.6,91.8,295
MetroA,2024,5,38.4,135.0,66.4,11.4,0.53,91.7,11.7,83.1,174
MetroA,2021,2,151.8,19.5,72.5,29.5,0.96,149.2,28.1,80.9,85
MetroD,2021,2,27.2,131.5,61.8,40.3,2.22,155.9,17.9,91.4,163
MetroD,2022,7,178.8,145.9,48.4,38.0,0.62,126.8,29.2,80.4,68
MetroA,2023,10,91.5,244.8,57.9,8.4,3.28,171.1,17.5,46.3,76
MetroC,2025,1,53.4,151.5,93.3,51.0,0.74,38.4,32.0,73.7,403
MetroB,2023,12,72.2,240.5,34.3,18.6,0.22,24.4,30.0,69.7,142
MetroC,2025,2,34.8,99.3,78.2,47.1,2.32,147.4,25.1,69.8,82
MetroE,2023,10,19.6,170.9,11.8,18.2,1.42,40.0,25.3,73.8,202
MetroA,2023,6,46.6,242.2,44.8,51.0,3.59,13.9,26.4,49.5,121
