country,year,population,gdp_billion_usd,solar_twh,wind_twh,hydro_twh,renewable_share_pct,co2_mt
Chile,2015,22096485,1883.55,80.84,59.56,87.06,50.62,444.89
Spain,2022,65082333,215.5,111.6,103.15,30.97,49.86,259.69
Japan,2010,29553107,1020.53,9.92,98.84,248.64,76.26,770.91
Spain,2016,177716770,1685.26,237.64,65.4,21.01,25.06,369.02
Japan,2021,194176567,1142.28,25.26,118.6,5.65,36.96,510.59
Japan,2021,190467474,283.68,224.32,88.64,247.44,71.83,333.28
Chile,2016,52343299,319.45,213.2,38.81,248.24,22.15,276.97
Kenya,2011,171984192,2096.92,147.61,138.99,137.9,64.26,765.39
Kenya,2025,3164372,1335.3,13.09,168.36,252.45,48.46,411.58
Chile,2015,198090666,2041.81,26.78,118.35,183.82,33.97,706.3
Japan,2017,75442834,1006.72,86.37,52.95,242.42,17.44,485.99
Kenya,2020,193092317,1847.31,138.84,39.12,66.87,69.29,552.42
Chile,2015,137262864,1365.38,159.58,127.86,229.43,55.61,470.42
Kenya,2019,115383477,2024.6,131.16,4.55,47.87,65.32,167.92
Spain,2019,185446194,641.39,210.01,124.31,92.07,72.82,35.52
Japan,2013,167385454,2172.73,185.13,155.67,224.01,55.51,197.7
Japan,2011,104430307,981.14,239.22,175.65,97.23,54.69,20.24
Canada,2016,168580760,2174.75,215.25,79.75,71.54,62.04,570.54
Brazil,2016,196592758,2411.44,74.25,31.94,206.38,21.83,147.3
Kenya,2022,12907668,1082.7,139.59,23.41,177.28,27.95,271.14
Canada,2011,43259437,2323.0,149.62,139.26,189.48,80.88,247.91
Chile,2012,191966822,808.29,55.77,33.1,25.11,50.46,338.59
Spain,2012,95792140,568.57,54.13,59.74,111.44,24.66,604.6
Canada,2010,32795438,1678.97,111.97,162.81,186.04,60.9,767.53
Spain,2022,32433609,976.97,135.52,50.91,273.84,78.99,306.22
India,2025,13771340,755.16,163.23,57.66,29.29,13.64,777.59
Chile,2012,58581221,1682.43,193.62,155.69,130.14,14.35,434.83
Brazil,2012,186158411,401.31,115.35,59.71,30.82,9.88,637.43
India,2017,71430283,1030.93,113.33,72.8,98.34,40.06,103.46
Brazil,2012,159197954,132.88,212.21,64.39,153.34,31.09,551.84
Japan,2019,119487796,965.91,205.71,5.55,51.12,24.79,599.94
Kenya,2014,82008932,1699.68,228.63,143.1,220.15,38.58,760.08
Canada,2013,13213392,32.47,149.57,96.69,284.36,32.42,601.15
Brazil,2016,112771097,2265.96,213.01,25.64,59.28,60.52,209.67
Brazil,2015,182114260,2003.16,213.21,153.25,280.05,94.49,374.4
Norway,2019,182304137,187.06,25.45,130.61,148.72,34.78,111.29
Kenya,2013,78540918,1556.4,225.13,57.2,137.94,60.47,251.48
Japan,2021,86915035,2397.47,42.99,56.38,236.77,69.1,516.26
Brazil,2021,38052446,1705.36,83.56,86.39,136.38,74.73,394.71
Brazil,2015,175288939,1524.44,210.61,154.57,46.3,53.48,217.96
India,2012,7001030,2126.98,158.27,146.28,175.78,74.23,178.08
Japan,2018,147886435,2237.09,135.38,117.7,48.85,40.32,714.24
Kenya,2014,126742263,1262.79,23.55,65.5,8.12,26.5,771.56
Canada,2014,121781389,414.87,142.02,101.85,262.3,18.16,588.28
Canada,2011,60738808,1908.45,58.71,47.58,74.04,65.17,419.13
Japan,2022,128077214,2296.4,220.51,7.18,196.31,14.29,775.07
Japan,2018,157325193,1369.99,44.29,117.66,112.76,63.8,670.02
Kenya,2022,61834063,1300.6,88.87,156.19,148.62,48.39,487.33
Brazil,2024,46454474,590.38,129.12,50.55,49.32,19.16,485.6
Chile,2017,113297012,2031.71,180.34,86.67,146.25,23.96,137.38
India,2010,67409750,127.0,143.8,29.0,190.71,8.53,462.09
Japan,2015,71326044,2307.67,129.64,72.98,290.93,62.39,704.02
Kenya,2012,60141353,1134.02,248.2,156.11,55.32,79.73,484.66
Brazil,2018,47022451,1815.98,86.33,81.62,179.23,25.68,314.51
India,2010,56317525,1316.32,227.43,123.19,248.82,59.5,150.16
Chile,2013,27015490,1215.96,33.45,108.63,249.12,85.73,622.15
Canada,2023,101422439,2189.56,174.71,77.21,281.83,48.39,617.25
Chile,2013,116216440,352.03,119.81,41.85,258.42,30.49,702.65
Norway,2018,52739943,33.56,186.17,1.28,159.15,51.78,306.27
Canada,2020,111748515,918.43,39.54,117.28,79.82,81.95,344.61
Spain,2018,184698702,1005.69,51.72,99.38,169.48,21.08,451.68
Norway,2018,84316560,1452.57,193.77,71.66,45.73,82.74,104.08
